"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup","RespMed"
"3916",493.300986177974,493.300036540398,493.302448053633,6644.71337102046,6643.59752710329,6645.42695521154,6,3,0,3,1270,1173,1251,368,412,467,1862,2045,1874,"","","368",1251
"6672",397.057631348708,397.057631348708,397.057631348708,6667.12541979893,6667.12541979893,6667.12541979893,1,0,0,1,946,917,897,569,567,521,1034,1247,1196,"","","56",917
"4009",331.046724107574,331.045393865477,331.047158982988,6680.99910335518,6679.6724286402,6681.56141358202,9,3,3,3,88680,79315,78054,56261,55975,63129,99860,106775,95917,"[1051][M]-","","51",79315
"9577",1117.26042279151,1117.26042279151,1117.26042279151,6695.61001840166,6695.61001840166,6695.61001840166,1,0,0,1,621,530,615,127,122,141,1016,901,967,"","","409",615
"3914",389.103111134606,389.101742754135,389.10452539187,6704.26352328808,6703.63691676896,6705.1785191409,6,3,0,3,1827,1719,1573,581,568,443,2576,2555,2610,"","","358",1719
"4181",327.218561003481,327.216747891162,327.218903845435,6723.14384770966,6722.14781477154,6723.7769930212,6,3,3,0,25178,22493,23411,42482,41905,46037,6684,6505,6067,"[1112][M]-","","110",23411
"4241",683.102835858504,683.098171121968,683.107271391549,6729.70907568199,6702.06652997229,6730.43566148519,3,1,0,2,571,977,972,773,748,773,915,952,913,"[1132][M]-","","619",913
"3982",271.061906673086,271.060773690311,271.062461840825,6739.82016833025,6738.42954174232,6741.28687668735,9,3,3,3,25586,21886,23617,28922,27521,26989,23009,23917,25181,"[1044][M]-","","143",25181
"11778",345.228505210606,345.228505210606,345.228505210606,6761.33947256647,6761.33947256647,6761.33947256647,1,0,1,0,766,609,725,1017,1031,1131,389,373,399,"","","1101",725
"4111",577.286425168818,577.283651014264,577.289193894825,6761.34651039949,6759.87287333851,6762.42101924798,5,2,0,3,4373,3635,3923,3625,3783,3901,4323,4398,3952,"","","323",3923
"4012",653.153312171002,653.150793798649,653.155295362631,6781.44839773626,6780.36530092959,6782.41461901552,8,3,2,3,9325,8214,8817,3560,3804,5181,12316,12384,11824,"[1053][M]-","","232",8817
"8894",1071.298732264,1071.29691434859,1071.30042857618,6801.79586341147,6801.49381128347,6803.31373392298,4,2,2,0,5532,4599,5236,3326,3200,3611,6497,6331,6108,"[1487][M]-","","285",5236
"9578",345.228822379495,345.228610170899,345.229034588091,6807.6607780079,6807.46538713331,6807.85616888249,2,0,1,1,1592,1369,1276,1593,1506,1721,1282,1423,1323,"","","1017",1423
"4193",329.23410818086,329.232360491855,329.234492294411,6817.71965079568,6815.5523692873,6820.40774924733,9,3,3,3,122222,111349,114382,195857,187065,198130,46810,43253,42146,"[1116][M]-","","24",114382
"4164",331.247102020577,331.245577483844,331.249057024177,6827.62584798505,6825.59415712294,6828.40547748701,9,3,3,3,16043,15191,15669,17165,15915,17891,15200,14511,14366,"[1104][M]-","","193",15669
"4196",329.234128028746,329.232480010929,329.234656436664,6849.89980889532,6848.61253156397,6851.95988401995,6,3,3,0,93018,81383,85469,153047,146526,154139,29036,27547,26761,"[1119][M]-","","35",85469
"4159",369.061579800489,369.059503195528,369.062250797782,6870.4250526654,6869.64227636011,6871.94125975769,8,3,3,2,11235,8925,9640,2943,3286,3454,8955,16118,15077,"[1102][M]-","","206",8955
"6710",1113.30622756293,1113.30622756293,1113.30622756293,6883.88083288541,6883.88083288541,6883.88083288541,1,0,0,1,906,780,785,177,171,236,1374,1353,1348,"","","398",785
"4200",285.041295911455,285.039928117948,285.041963619539,6899.94743841551,6897.97716657544,6902.30440379995,9,3,3,3,129459,106355,114607,16027,15798,10002,192537,184315,188122,"[1121][M]-","","26",114607
"4177",327.218155333836,327.216953942497,327.218921791553,6912.09976086255,6908.34486518361,6913.61033651833,6,3,3,0,6438,5374,5637,12183,11354,12059,1431,1279,1227,"","","234",5637
"4151",227.166169076085,227.164998528037,227.166599154636,6922.28023758947,6921.62918270966,6924.44491451613,9,3,3,3,20264,17809,17572,40964,37855,37324,4047,4308,3643,"[1099][M]-","","121",17809
"9621",683.096951583407,683.096951583407,683.096951583407,6936.04342406769,6936.04342406769,6936.04342406769,1,0,0,1,1335,1214,1292,697,820,860,1271,1313,1222,"[1537][M]-","","308",1222
"4140",297.077886214727,297.076141452915,297.078610400771,6951.86818067332,6949.68387080142,6954.62086781836,9,3,3,3,7554,6378,6580,3980,3560,3163,8312,8216,8312,"[1095][M]-","","107",6580
