"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup","RespMed"
"9",248.960700671318,248.960612411678,248.960822801643,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,79514,76798,74180,79184,76473,76738,80911,81368,72466,"[1][M]-","","69",76798
"937",206.972639733548,206.972039139336,206.973062915347,94.4267312549923,92.989164845944,94.5157602079676,9,3,3,3,35279,31125,31935,32573,47906,33314,28930,27273,25935,"[211][M]-","","104",31935
"327",197.807925452039,197.807697711589,197.808310778066,105.698225071184,104.26110808904,106.560971378891,8,3,2,3,8464,8472,8605,11400,4956,890,20429,11683,6953,"","","176",8472
"5306",751.639783113677,751.639643079039,751.639923148316,120.783023022472,119.061644087034,122.504401957911,2,0,0,2,603,554,631,0,0,0,1164,1144,1100,"","","885",603
"329",187.042082253938,187.041615511762,187.042679537254,128.521343232988,127.083176557804,128.662761387243,9,3,3,3,5190,4543,4949,2688,3648,12726,2532,2383,2251,"","","227",3648
"7426",191.01979565948,191.01979565948,191.01979565948,138.54956292824,138.54956292824,138.54956292824,1,0,0,1,2559,2314,2395,683,726,3106,4297,3874,3852,"","","314",2559
"336",481.097656332522,481.095273477667,481.099019025913,154.506862705646,152.583360698672,154.781024074318,9,3,3,3,7137,6657,6612,3659,3260,4122,10345,9463,7933,"[63][M]-","","244",6657
"378",735.144718615896,735.143159107163,735.146015720851,186.640243005076,185.231275730608,186.92609050366,6,3,0,3,4728,4106,4462,0,0,0,9884,9389,8117,"","","248",4462
"496",945.156553328854,945.154507156238,945.158716620745,207.425579152363,206.702972278964,208.952019559397,9,3,3,3,5057,4414,4379,5769,4821,4541,4446,3329,2900,"[95][M]-","","301",4446
"382",385.02358295814,385.022892676066,385.024253595983,224.743221279602,223.324649729128,225.09767902972,9,3,3,3,17005,16492,16618,18987,25105,34520,6795,4837,4688,"[72][M]-","","134",16618
"450",727.147552342069,727.146447101511,727.148032399214,251.105088182368,250.776233444634,252.359509912484,6,3,0,3,7294,6695,6721,0,126,112,15151,14108,12502,"","","208",6721
"437",169.014620334808,169.014354058695,169.015176357731,264.832817279569,263.104843922193,265.277926988595,9,3,3,3,219586,202016,204388,215307,208555,213596,204682,200478,170319,"[81][M]-","","21",204682
"419",689.082375168864,689.081541834291,689.083471734897,274.855258948197,273.047798757957,275.322936570633,9,3,3,3,51372,46741,48856,56926,53127,54888,49495,37956,33108,"[80][M]-","","90",49495
"681",673.087533669975,673.087065565109,673.088111665417,296.907440224051,294.923145305886,297.421891259401,9,3,3,3,101222,94086,95145,107601,95512,91835,103672,76292,70289,"[135][M]-","","50",95145
"501",369.028777304976,369.028042483312,369.029326416962,316.39749856121,314.808739583017,317.511777225409,9,3,3,3,215345,195878,203339,306884,308352,363012,61832,51215,43639,"[98][M]-","","11",203339
"407",183.030257899109,183.030112475863,183.030887907374,332.987876073884,330.715099477564,333.582638940241,9,3,3,3,37352,33962,35811,38963,38768,38393,29606,28178,24529,"[75][M]-","","127",35811
"454",881.193190017544,881.192304579386,881.194318548722,343.610722798409,343.036895203596,344.415787793783,5,2,0,3,5578,5026,5029,1208,1376,1034,9651,9104,8457,"[87][M]-","","249",5029
"418",206.045958057159,206.045320428157,206.046768719074,355.072947775238,352.588870631654,355.682395172627,9,3,3,3,12660,11479,12444,11253,10993,11055,12992,13657,11588,"[79][M]-","","217",11588
"415",495.113131424816,495.112516948673,495.114239484462,373.07874115646,371.57754659692,373.762147761027,9,3,3,3,7748,7246,7192,2736,2607,3111,12431,11528,10759,"[77][M]-","","230",7246
"425",321.061569625849,321.060760815602,321.062335625755,385.158136824434,383.625872297787,385.817968651878,9,3,3,3,4670,3958,4189,2895,2857,2785,5953,5968,4835,"","","296",4189
"5328",701.103156471154,701.103113865209,701.103199077099,390.778931438642,389.714994984535,391.842867892748,2,0,0,2,2698,2661,2556,2272,2762,4752,1294,2639,2193,"","","1035",2639
"438",219.051024226045,219.050554898324,219.051759321656,404.451055385583,402.304077147074,405.906631654559,9,3,3,3,9298,8484,8948,10419,12841,13943,5415,5237,4518,"[82][M]-","","214",8948
"504",719.149690155306,719.14872894017,719.151610769473,422.219751458108,421.314303786244,423.559955384288,6,3,0,3,19079,16947,17857,0,119,0,38894,37437,32193,"","","128",17857
"9844",329.086724109914,329.086622077293,329.086826142534,438.973281332328,438.102118038151,439.844444626504,2,0,2,0,965,858,887,1107,1279,1204,626,622,548,"","","403",887
"682",673.087688917098,673.08649007451,673.088388297208,457.85625795962,457.278569641587,458.482150181103,9,3,3,3,87351,81061,83480,83448,78534,72630,101976,74094,69715,"[136][M]-","","52",81061
"525",603.10307050463,603.100001334401,603.104426147009,469.351544426036,467.874859143381,470.190860396916,8,3,2,3,3027,2506,2750,1247,1380,2357,3788,3973,3369,"","","330",2750
"552",153.019877717397,153.019688607753,153.020467454942,483.46731289959,481.852056959335,484.251088777989,9,3,3,3,36145,34251,32711,32759,30826,34714,32645,36299,30394,"[106][M]-","","133",32759
"615",609.125001903106,609.123201323575,609.125954765368,507.506813569519,505.394479397652,508.356581197473,9,3,3,3,11729,9685,10540,3890,3323,3536,18425,16453,15621,"[125][M]-","","188",10540
"7366",657.819834059294,657.819834059294,657.819834059294,525.572086677925,525.572086677925,525.572086677925,1,0,0,1,1587,0,0,1950,0,0,1223,0,657,"","","432",0
"739",657.092583732712,657.091475672264,657.09423466534,527.563637688554,524.176680228972,530.452082169925,9,3,3,3,426497,394609,402076,535640,510217,452758,313478,223353,212918,"[151][M]-","","5",402076
"482",657.80295670818,657.80295670818,657.80295670818,528.519634134069,528.519634134069,528.519634134069,1,1,0,0,1587,0,0,1950,0,0,1223,0,657,"","","432",0
"624",129.019632576494,129.019050012205,129.0205144473,542.009208826116,540.23782461758,542.526521217379,3,1,1,1,2217,1992,1980,2184,1997,2057,1769,1983,1705,"","","342",1992
"11055",865.18762893532,865.18762893532,865.18762893532,560.006540026174,560.006540026174,560.006540026174,1,1,0,0,10292,9747,9203,6759,5673,6529,12929,12853,12096,"[1617][M]-","","223",9747
"632",621.145058843639,621.144497458668,621.14662177281,578.070918301489,577.702488451035,578.661791267167,5,2,0,3,4001,3279,3597,410,465,163,19707,1990,4258,"[128][M]-","","179",3279
"854",632.100556555655,632.098626516402,632.102598035202,589.736505387698,588.54942449788,590.10625688951,6,3,0,3,1662,1361,1591,247,232,241,3896,2861,2655,"[187][M]2-","","331",1591
"719",175.061607319555,175.061062520413,175.062467387577,603.769226676616,601.179111289668,604.774782010368,9,3,3,3,53823,52880,51563,60202,60432,62720,39599,43063,35778,"[144][M]-","","86",52880
"760",593.129869541089,593.129026814504,593.131039586257,615.666863853006,613.793737224138,617.09424838572,9,3,3,3,182739,161545,169514,75119,67813,72402,286279,261238,243272,"[158][M]-","","16",169514
"588",150.020180117777,150.019558768947,150.020985071352,635.872526010434,634.164196739316,636.986187987979,9,3,3,3,14315,13232,13198,23534,21946,21476,1906,2044,1829,"[117][M]-","","156",13232
"579",382.53726317089,382.534769192363,382.537639125175,650.107258497193,648.578199991261,652.896864885282,4,3,1,0,1430,1306,1307,1593,1586,2596,911,996,766,"","","359",1307
"762",593.130012136801,593.128988810595,593.130984574852,659.782818258889,657.903627268739,660.849889694445,9,3,3,3,111914,99964,102566,66708,59098,65764,150572,135715,125777,"[160][M]-","","36",102566
"604",785.106542725204,785.104790850377,785.109691000642,672.377187282861,670.226633104541,676.756600778258,7,2,2,3,3259,2936,3229,1705,1519,1688,2314,6073,5198,"[120][M]-","","292",2936
"809",399.002397762605,399.001941670786,399.003554500745,683.565548849759,681.958166816444,684.592088433373,6,3,0,3,58875,51693,56323,32983,31188,34145,54296,82745,71648,"[171][M]-","","68",54296
"690",369.028679803274,369.027806433054,369.029454874363,700.057931300735,695.172464846977,706.563591322667,9,3,3,3,42143,38804,39000,56746,52967,50284,20565,18286,15443,"[137][M]-","","93",39000
"679",480.069457065026,480.068725729108,480.070784033586,722.545554179045,718.033638686795,728.428182365014,9,3,3,3,8956,7308,7960,4602,4222,4083,16431,12863,9840,"[134][M]2-","","203",7960
"808",399.002576115736,399.002087991913,399.003390376963,762.612718127338,760.106070949164,766.107532740528,9,3,3,3,190410,170766,176514,128291,122749,132817,174189,267667,235957,"[170][M]-","","18",174189
"9907",536.083091511981,536.083091511981,536.083091511981,790.094977165579,790.094977165579,790.094977165579,1,0,1,0,2101,1790,1998,2220,2164,2222,2049,2035,1771,"","","374",2049
"744",895.159718286916,895.158293869701,895.163992357999,822.415821192633,817.691649211429,827.913708288515,9,3,3,3,6177,5552,5685,3065,3065,3144,8942,7956,7098,"[153][M]-","","257",5685
"9905",201.04072469088,201.04072469088,201.04072469088,845.830257972156,845.830257972156,845.830257972156,1,0,1,0,1046,1081,1165,1200,1565,2256,621,542,529,"","","757",1081
"746",329.087984154729,329.087035432031,329.088147853499,846.552818108542,845.688883206378,848.2709096993,9,3,3,3,15090,13823,13913,8755,8488,9241,20215,20677,17293,"[154][M]-","","174",13913
"705",183.030474454991,183.029927394501,183.030854737262,858.53270190674,857.771108685494,859.859783162853,9,3,3,3,53289,48788,49347,52805,50068,53455,42534,45801,40758,"[140][M]-","","95",49347
"707",467.1185976841,467.117676517847,467.119416498955,868.557857023112,867.839901011509,869.718029778831,9,3,3,3,4199,3610,3718,3065,2916,3211,4572,4745,3867,"","","579",3718
"5407",495.112458945573,495.111611980219,495.113305910927,870.043774500954,866.173807798131,873.913741203776,2,0,0,2,1337,1286,1370,658,616,726,2074,2006,1683,"","","379",1337
"711",382.100052964552,382.099687942948,382.100910918965,887.089464072286,885.963487185836,889.622757024802,9,3,3,3,12557,11939,12470,19918,19721,20343,3924,3953,3620,"[141][M]-","","177",12470
"8519",657.092663356201,657.09167157577,657.093381125842,900.656803579899,899.133430229254,902.071055946237,5,2,3,0,5541,5160,5159,8637,8322,6921,2172,1566,1560,"","","259",5160
"775",509.12914718804,509.128251126253,509.130260127317,922.389523164398,920.925815705124,923.455938668714,9,3,3,3,31196,29097,28534,18345,16425,17172,42067,41377,36878,"[163][M]-","","116",29097
"761",593.129650468646,593.128648096662,593.130762207918,941.987609126997,940.318777089561,943.349440902054,9,3,3,3,56472,52071,52836,38556,34284,39570,71189,64356,60371,"[159][M]-","","75",52836
"787",701.115319459181,701.110851386215,701.117850896057,966.852654808226,963.928756589098,971.200037635133,9,3,3,3,16394,15475,15480,9253,8903,10645,19032,21434,19347,"[166][M]-","","169",15480
"737",481.131623934638,481.127275021892,481.135136143847,986.335294996706,984.902819626069,993.086238331277,9,3,3,3,13831,12188,12384,8151,7874,8095,17436,18296,15624,"[150][M]-","","151",12384
"801",181.050524528967,181.050274144124,181.051040877278,1000.94800911824,999.053726518116,1002.39503081086,9,3,3,3,10131,10058,10325,12397,11365,10849,8242,8063,7913,"[168][M]-","","231",10131
"827",623.088850114472,623.087669200509,623.090635189891,1020.83128937731,1018.95344304123,1021.78078549778,9,3,3,3,168680,148018,156644,145179,145910,165087,153448,164681,146439,"[175][M]-","","31",153448
"771",481.098454114704,481.097586929341,481.101200458366,1053.4434754572,1052.13000033977,1055.71233678511,6,3,0,3,3455,2921,3077,1419,1295,1403,5292,5370,4545,"[162][M]-","","310",3077
"11450",481.07654929139,481.073377321627,481.079721261153,1054.33308171788,1053.58457699489,1055.08158644088,2,0,2,0,3455,2921,3077,1419,1295,1403,5292,5370,4545,"","","310",3077
"805",153.019831337382,153.019255064479,153.020119079305,1073.68423246712,1070.70210586178,1075.39323026543,9,3,3,3,13313,12638,12252,16890,15346,15851,9026,9199,8031,"[169][M]-","","197",12638
"821",285.043735446779,285.043205557234,285.044788857321,1095.80845599273,1094.03647233108,1097.65698364841,9,3,3,3,17164,14722,15728,9948,9141,9303,23062,22869,21254,"[173][M]-","","159",15728
"11457",408.075491622127,408.075491622127,408.075491622127,1113.54044027,1113.54044027,1113.54044027,1,0,1,0,720,659,664,1398,1356,1331,0,111,116,"","","397",664
"830",295.046161893908,295.045537680724,295.046762250913,1138.131871415,1136.3962266755,1139.75286802895,9,3,3,3,77890,69429,74070,57394,57521,62447,86975,88584,79707,"[178][M]-","","60",74070
"867",419.097890399437,419.096833105615,419.098711540721,1160.2343382021,1157.85436552561,1163.62563664109,9,3,3,3,11453,10091,10296,7937,7528,6273,19320,10571,10562,"[191][M]-","","181",10296
"851",277.12311470489,277.122787345362,277.123294566334,1200.17636856893,1198.36710770228,1205.69184976813,6,3,3,0,1877,1479,1754,4058,3763,2900,656,152,217,"","","289",1754
"5432",401.086853205052,401.085384033681,401.087682572213,1203.59255973768,1203.12139178254,1203.9409666243,4,1,0,3,2709,2393,2484,418,386,411,6256,4035,3726,"[1202][M]-","","1028",2484
"905",849.155549198572,849.15444635663,849.157698430263,1217.06064944422,1213.15390619112,1218.00957731199,6,3,0,3,3114,2765,2992,1675,1515,1516,4953,4062,3917,"[200][M]-","","317",2992
"849",240.033796681895,240.033322747387,240.034391815355,1229.63817928471,1225.64195592068,1232.55335980387,9,3,3,3,6618,5929,6474,9317,8632,13106,1491,2254,2241,"[184][M]-","","222",6474
"968",657.091684457371,657.089792089354,657.093554002103,1266.23703063531,1263.31802707718,1267.80917404667,9,3,3,3,12347,11533,11956,18062,16750,14567,7519,5207,4945,"[218][M]-","","191",11956
"892",321.061647450358,321.059982457545,321.062181628265,1286.36955685786,1284.83316134266,1289.68344379939,8,3,2,3,3761,3190,3370,2136,1948,2188,4954,4586,4000,"","","316",3370
"865",355.06659713479,355.065612798296,355.067015333208,1301.00317092108,1299.34568028782,1302.40294501384,7,3,1,3,4226,3690,3690,1826,1897,2288,5539,5793,5037,"","","300",3690
"951",189.077129786856,189.076394630999,189.077256762294,1323.50939075622,1319.62684977495,1325.16506185534,9,3,3,3,66314,61028,62784,41043,41167,41073,85772,84673,77937,"[216][M]-","","61",62784
"861",651.170099173855,651.169118362956,651.171428172566,1339.59509903378,1337.25005855634,1341.57188327462,6,3,3,0,2306,2250,2273,4381,4058,4942,150,180,0,"[190][M]-","","318",2273
"9180",343.111642131593,343.111642131593,343.111642131593,1353.60375370209,1353.60375370209,1353.60375370209,1,0,0,1,5709,5068,5218,7741,7325,7116,3457,3117,2692,"","","265",5218
"859",343.126525592733,343.124329083819,343.129406442814,1354.34176444995,1351.16329995221,1357.34512368239,6,3,3,0,5709,5068,5218,7741,7325,7116,3457,3117,2692,"[189][M]-","","265",5218
"915",165.055850829919,165.055211565961,165.056338949599,1381.56065865413,1377.50728681177,1382.71032294058,9,3,3,3,59418,53110,51547,36966,34493,35895,76080,76059,67588,"[203][M]-","","71",53110
"896",511.143931618966,511.143076870419,511.146138787563,1399.4818219667,1397.3796295646,1402.76895746354,9,3,3,3,5154,4923,5064,4581,4196,4922,5675,5493,4904,"[199][M]-","","303",4923
"5472",189.076953901983,189.076460418688,189.077600490365,1419.77521325277,1413.68751126999,1423.82237138835,3,1,0,2,10109,9751,9998,6674,6577,5123,13037,13513,11135,"[1207][M]-","","219",9998
"884",261.087875659152,261.087154922639,261.088997769134,1433.92534404434,1431.45602193807,1436.85078964018,9,3,3,3,6975,6077,6351,11232,10339,10934,2201,2505,2023,"","","679",6351
"1793",881.193242802016,881.191843226162,881.196314545577,1449.12394360527,1446.8222029215,1451.78464875611,6,3,0,3,16015,13664,14366,563,943,455,29594,27920,25107,"[419][M]-","","141",14366
"7439",165.056141412671,165.056141412671,165.056141412671,1472.91756807251,1472.91756807251,1472.91756807251,1,0,0,1,6492,6120,5760,4853,4124,3391,9343,8368,7773,"[1389][M]-","","254",6120
"946",359.097978607117,359.096999385818,359.098966056152,1510.25636509704,1507.86979409706,1513.81365277786,9,3,3,3,19674,17084,18319,16230,15895,16244,21111,22059,18554,"[213][M]-","","164",18319
"918",183.030164189266,183.029550045584,183.030551761665,1533.41577945808,1530.48449705803,1536.40992578409,9,3,3,3,7767,7654,7155,12762,11702,12252,3091,2918,2613,"[204][M]-","","226",7654
"1078",383.00717912852,383.006120169188,383.008097651607,1553.58917168848,1550.39221901939,1555.40505824656,6,3,3,0,26565,24800,24870,16392,15691,16609,24756,40157,37468,"[246][M]-","","125",24800
"1155",295.045878795253,295.044934809981,295.046826785826,1588.0503809889,1584.22763769108,1589.37881031265,9,3,3,3,234922,213505,226845,155242,156450,162080,291690,291487,261076,"[266][M]-","","15",226845
"1080",383.007011341066,383.006190633303,383.008195776273,1613.59359564517,1610.09680203666,1616.17913800384,6,3,0,3,28698,25087,26265,15850,15797,17186,25983,42437,38912,"","","114",25983
"2038",577.133911038622,577.132791678575,577.136102019378,1645.1282302616,1641.93199816114,1649.37995451941,9,3,3,3,69012,60806,63320,89556,81729,86961,43675,37944,35268,"[489][M]-","","59",63320
"9963",465.196964851447,465.196792071008,465.199573113731,1676.6218986492,1675.6343762136,1681.44881034984,3,0,3,0,1009,963,980,1693,1607,1629,300,291,222,"","","632",980
"1079",383.007020550221,383.006212041038,383.008299672596,1680.84128181301,1672.45819368137,1691.47667129883,7,3,2,2,27873,24675,25963,16353,16296,17298,25983,41362,38300,"[247][M]-","","119",25963
"964",382.113566436778,382.112277291155,382.115140225184,1703.2323826902,1701.79450018996,1706.6242409654,9,3,3,3,1841,1605,1957,1909,1837,1970,1670,1665,1462,"","","120",1837
"1039",193.014002460892,193.013140199339,193.014772176714,1707.82974138483,1703.60864411772,1711.53630171032,9,3,3,3,23803,20919,21698,21995,20968,22903,19281,19050,17470,"[238][M]-","","154",20968
"1189",443.190950922156,443.190046033742,443.193555833472,1733.98884775875,1731.28828402421,1737.43541203317,9,3,3,3,9531,11630,10720,10375,10187,10975,11745,12648,10848,"[273][M]-","","209",10848
"1020",206.081724400899,206.080795292994,206.0826448352,1742.77343230903,1739.80967910893,1751.36431448206,9,3,3,3,2236,2947,2364,3209,3210,3333,2357,2584,2353,"","","335",2584
"2039",577.133621824757,577.132976870906,577.137421616282,1765.99205897186,1761.31353562325,1773.71824662452,9,3,3,3,399588,350007,364119,402032,380617,404522,357200,347692,308567,"[490][M]-","","7",364119
"1051",241.119196216553,241.118635923021,241.120243375228,1794.99099158369,1783.33176217365,1799.76808752374,9,3,3,3,5724,4437,4678,6545,6366,6475,1682,1585,1486,"","","282",4678
"8535",193.013741055029,193.012881407006,193.014981409403,1808.96673397566,1804.25828192457,1818.54093230799,4,2,2,0,911,1810,1700,1975,1769,2329,1102,1602,1065,"","","1010",1700
"1085",631.165283044783,631.163763342202,631.169039951885,1809.06011029177,1795.33554646437,1829.80579747898,9,3,3,3,6584,5509,5520,5790,5872,5945,5254,5299,5003,"[250][M]-","","281",5520
"1188",443.191126428531,443.19041586455,443.193825802962,1822.73958714427,1811.3389200396,1836.90854885706,6,3,0,3,124541,105692,113617,79856,72221,82351,103709,105850,92036,"[272][M]-","","42",103709
"1150",201.040480757673,201.039238275131,201.041294360135,1847.86970788565,1834.46834554289,1861.86132531975,6,3,3,0,1614,1626,1599,1130,941,801,2677,2300,2239,"","","340",1614
"10039",443.190444791983,443.190380062408,443.192261200475,1861.86132531975,1861.0971080791,1862.86117518148,3,0,3,0,124541,102998,113617,113462,108662,114569,12414,19773,18988,"[1551][M]-","","43",108662
"2041",577.134089272455,577.132807013821,577.137390619402,1890.60555525249,1885.08647597247,1907.49373641781,9,3,3,3,68336,62429,58657,107510,105786,110328,48401,46517,36597,"[492][M]-","","46",62429
"8547",733.268756395998,733.267057069797,733.272050458036,1920.64684382822,1915.24560147459,1945.12836073594,4,1,3,0,1585,1306,1376,2277,2228,1964,444,176,288,"","","320",1376
"1333",289.071389165662,289.070650283077,289.07257550911,1957.15037557185,1943.45716485906,1969.43361353324,6,3,3,0,662811,612172,625422,766778,755588,768309,407798,410895,369820,"[300][M]-","","2",625422
"5546",403.064997897127,403.064224292599,403.065771501655,1997.78120624766,1991.51044670357,2004.05196579175,2,0,0,2,971,859,883,887,929,884,831,1057,899,"[1217][M]-","","426",887
"5653",289.07218045308,289.071728065086,289.073878573512,2003.27481874307,2001.52115453284,2008.07783473186,3,0,0,3,660583,612172,625056,726900,718626,748492,407798,410895,369820,"[1227][M]-","","3",625056
"7462",325.048490492368,325.047343710871,325.048999411537,2027.71939085896,2023.19369387263,2032.12471304045,4,2,1,1,13973,12128,12420,12497,12720,13693,12591,0,11328,"[1390][M]-","","213",12497
"1162",329.086409320716,329.084233947834,329.089682638744,2059.23582125594,2051.6524397415,2070.44216108479,9,3,3,3,4671,4273,4200,1205,1270,1380,10331,10734,9591,"","","216",4273
"11080",479.139585320303,479.139585320303,479.139585320303,2080.25065325185,2080.25065325185,2080.25065325185,1,1,0,0,3038,1669,1936,823,805,544,2676,2296,2168,"","","333",1936
"1334",289.071334683078,289.070921195858,289.072541429311,2101.49698105624,2091.74715207475,2113.60603574228,7,3,3,1,202919,206537,203149,308479,307097,266349,100529,113861,85928,"[301][M]-","","14",203149
"1335",325.091949453768,325.090779516577,325.094312104527,2131.0487286093,2127.37896002236,2132.80396907705,6,3,0,3,36644,34189,34991,0,0,6757,73640,76562,70665,"[302][M]-","","70",34991
"11485",177.023080539685,177.023080539685,177.023080539685,2153.04893510938,2153.04893510938,2153.04893510938,1,0,1,0,152,134,155,163,183,152,0,0,0,"","","1068",152
"1191",221.044834407521,221.044074350552,221.046494014308,2153.35596296428,2148.74487430694,2161.22752165942,9,3,3,3,3978,3804,3933,2642,2405,3191,4586,5371,4941,"","","309",3933
"1207",312.155650272209,312.155177846971,312.157115124662,2170.57738627825,2140.68864151346,2181.08887228148,6,3,3,0,1580,1418,1428,3075,3118,3474,141,226,146,"","","1023",1428
"1320",469.113350328273,469.111419758575,469.115446784638,2175.22451487108,2169.19365609695,2181.09286398928,6,3,0,3,3686,3503,3383,3278,3641,1796,6444,6306,5637,"[296][M]-","","287",3641
"8633",289.070893385544,289.070893385544,289.070893385544,2201.42408294825,2201.42408294825,2201.42408294825,1,1,0,0,70424,67029,65108,111436,104047,125592,26648,26778,23788,"","","40",67029
"11086",580.152690704204,580.152690704204,580.152690704204,2229.32399347898,2229.32399347898,2229.32399347898,1,1,0,0,2109,2155,1880,4706,3997,5739,435,502,351,"","","302",2109
"8555",707.149740709269,707.149740709269,707.149740709269,2233.46974869416,2233.46974869416,2233.46974869416,1,1,0,0,888,805,882,281,261,263,3084,1398,1271,"","","1058",882
"5570",329.088345302178,329.083298853914,329.093051296173,2251.6401769312,2239.4795687546,2273.66472051204,3,1,0,2,186,217,215,170,131,131,310,318,289,"","","793",215
"1318",469.113156105012,469.111551223879,469.11578765349,2253.49760568122,2250.07960043474,2257.56197654789,9,3,3,3,17416,16107,16537,18219,17372,18174,14793,14310,13141,"[295][M]-","","189",16537
"10047",417.120873693374,417.120873693374,417.120873693374,2267.53526585423,2267.53526585423,2267.53526585423,1,0,1,0,724,699,716,983,948,1176,306,322,327,"","","670",716
"1339",325.092455352857,325.090661006821,325.094713203102,2289.63907381761,2287.52218717186,2307.57703314179,5,2,0,3,14717,13580,11314,2840,2732,4895,21715,30155,27186,"","","140",13580
"1229",241.118565091104,241.118298976455,241.119018967208,2322.2832341734,2315.58880951205,2332.49883065749,4,2,2,0,3607,2371,3248,5425,5640,5249,616,801,544,"[280][M]-","","305",3248
"10052",325.063832860761,325.063832860761,325.063832860761,2352.03055154265,2352.03055154265,2352.03055154265,1,0,1,0,12032,11231,11146,1414,1140,1368,20552,22018,19967,"","","166",11231
"1275",594.138700801685,594.13701461089,594.14184105221,2357.0222058296,2346.26264464455,2368.27836970297,8,3,3,2,6498,5940,5722,8391,7446,9054,2915,2643,2377,"[287][M]-","","734",5940
"5607",325.09308258337,325.09263291542,325.094804672749,2375.6198656146,2374.31960586651,2376.38071234924,3,1,0,2,12108,11231,11146,1016,852,1131,20996,22018,19967,"[1223][M]-","","165",11231
"1336",325.093577867206,325.09169535166,325.094623157765,2381.42632738097,2380.29076451937,2384.38692964997,3,1,0,2,12108,11231,11146,1414,1140,1525,20996,21470,19967,"","","165",11231
"1256",369.028935492623,369.028134315816,369.030186668981,2390.6779063816,2382.2830501719,2400.36069150652,4,2,2,0,1780,1808,1657,2895,2699,2603,771,667,619,"","","351",1780
"1223",307.139370941787,307.138644069871,307.139885295788,2411.72710559195,2408.6148144954,2418.12215779403,4,2,2,0,1072,1093,940,1159,1088,1017,921,994,873,"","","406",1017
"8621",289.07098618817,289.07098618817,289.07098618817,2513.85162310708,2513.85162310708,2513.85162310708,1,1,0,0,173217,182538,175777,268853,267684,251344,76340,79633,64716,"","","17",175777
"1700",197.045497072523,197.044444078157,197.046634058339,2571.72260139604,2569.15924975315,2574.44144045263,9,3,3,3,335318,310466,308149,262937,246993,260921,367921,363883,324726,"[387][M]-","","10",310466
"1315",371.076818717979,371.076022216725,371.078849784678,2617.9727494239,2615.11063544731,2620.84185380992,9,3,3,3,10210,9086,9423,4142,4082,4272,15618,13778,12488,"[293][M]-","","201",9423
"12019",769.107585816618,769.107585816618,769.107585816618,2644.99130448715,2644.99130448715,2644.99130448715,1,0,1,0,1826,1658,1761,2285,2063,2058,979,1413,1229,"","","831",1761
"1394",637.269756319766,637.268708149048,637.273770436891,2661.06545770483,2654.37379214,2679.42388500725,9,3,3,3,11982,11200,11131,8225,7950,8722,14359,14928,12427,"[313][M]-","","210",11200
"1307",989.329367710335,989.326568343567,989.334424444626,2669.65759830767,2664.43646257706,2675.42827226582,6,3,3,0,1823,1253,1780,2028,1830,1264,596,530,448,"","","856",1264
"1702",197.045187051048,197.044377577123,197.046410443389,2695.40764872708,2694.53954401773,2706.87777405249,9,3,3,3,76134,68938,71774,61817,56187,60742,84718,81251,74044,"[389][M]-","","62",71774
"9223",487.142730756842,487.142730756842,487.142730756842,2722.99166939102,2722.99166939102,2722.99166939102,1,0,0,1,2136,1925,1972,938,862,955,3727,3506,3054,"","","334",1972
"10117",769.108835866825,769.106592146694,769.111079586955,2743.2048867685,2739.19443994205,2747.21533359495,2,0,2,0,3127,2662,2936,3253,3080,2922,1594,3023,2792,"","","238",2936
"1561",685.122588593328,685.119510920985,685.124935406442,2751.30824063926,2734.79983344824,2767.38223232641,9,3,3,3,49496,43593,45375,37048,34741,37593,52840,57504,50618,"[350][M]-","","85",45375
"1552",381.17573172556,381.174377961406,381.177035013466,2786.9030682289,2781.49839331497,2797.18290161571,9,3,3,3,8702,8553,8479,11690,10667,11970,5841,6095,4887,"[345][M]-","","89",8553
"1369",325.057510400431,325.054955574453,325.062819359785,2801.34311092611,2796.88837151649,2805.6998209463,9,3,3,3,64131,58848,60617,68646,67259,69182,47948,48594,41423,"[309][M]-","","76",60617
"1451",206.081655410971,206.081073183605,206.082652196968,2825.86667577219,2823.40032734119,2833.1127900032,9,3,3,3,11702,9632,10107,7235,7246,6835,12866,12655,11694,"[324][M]-","","225",10107
"10094",474.118320619941,474.115792911633,474.119355084779,2827.41064323237,2826.50821951518,2827.88235745148,3,0,3,0,677,635,654,1080,1109,1157,0,0,0,"","","883",654
"1395",325.091375803879,325.089111896908,325.092903000863,2843.35925203822,2842.81767215605,2847.09184655312,4,1,0,3,32151,40011,40530,51135,44834,53775,54854,56867,52091,"[314][M]-","","91",51135
"1563",163.040487162523,163.039758763241,163.04107246078,2872.43479906667,2868.77367769604,2882.33220496417,9,3,3,3,28395,27172,26685,17544,16926,18555,37137,36755,32577,"[352][M]-","","130",27172
"1400",481.04392070189,481.042467276524,481.045201753532,2873.07979088909,2858.79098963732,2884.34902122003,8,3,3,2,10544,10108,10478,19989,19340,20863,680,2731,2326,"[315][M]-","","651",10478
