	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc	treatment1	treatment2	pooled_R1.mzXML	pooled_R2.mzXML	Pooled_R3.mzXML	Treatment1_R1.mzXML	Treatment1_R2.mzXML	Treatment1_R3.mzXML	Treatment2_R1.mzXML	Treatment2_R2.mzXML	Treatment2_R3.mzXML
4831	765.523624820085	765.521770454759	765.531020612479	8014.022	8012.056	8024.049	3	3	0	0	1446	1361	1359	NA	NA	NA	NA	NA	NA
4802	1109.70054172675	1109.70054172675	1109.70054172675	8014.022	8014.022	8014.022	1	1	0	0	1039	NA	NA	NA	NA	NA	NA	NA	NA
4911	1115.71192071464	1115.70935945733	1115.71448197196	8014.0225	8012.017	8016.028	2	2	0	0	1171	1048	NA	NA	NA	NA	NA	NA	NA
11581	753.525866451291	753.525866451291	753.525866451291	8014.024	8014.024	8014.024	1	1	0	0	NA	2053	NA	NA	NA	NA	NA	NA	NA
11170	1063.67200463002	1063.66841019508	1063.67905367534	8014.024	8002.603	8018.06	3	1	2	0	NA	1085	NA	NA	1122	1202	NA	NA	NA
12579	793.538819939572	793.538819939572	793.538819939572	8014.051	8014.051	8014.051	1	0	1	0	NA	NA	NA	NA	1241	NA	NA	NA	NA
12578	839.575528463021	839.575528463021	839.575528463021	8014.051	8014.051	8014.051	1	0	1	0	NA	NA	NA	NA	1966	NA	NA	NA	NA
12584	887.59594443776	887.59594443776	887.59594443776	8014.051	8014.051	8014.051	1	0	1	0	NA	NA	NA	NA	1833	NA	NA	NA	NA
9911	927.60348620131	927.60143392933	927.608648411443	8014.051	8006.091	8014.112	3	0	2	1	NA	NA	NA	1954	1945	NA	NA	NA	1739
9260	1005.64938518831	1005.64938518831	1005.64938518831	8014.063	8014.063	8014.063	1	1	0	0	NA	NA	1093	NA	NA	NA	NA	NA	NA
4876	973.625298396212	973.624879273825	973.6257175186	8014.0665	8006.091	8022.042	2	1	1	0	1485	NA	NA	1637	NA	NA	NA	NA	NA
9256	944.610388880673	944.60838928517	944.612388476175	8014.0875	8004.087	8024.088	2	1	1	0	NA	NA	963	1066	NA	NA	NA	NA	NA
4864	923.600521591648	923.600118358443	923.609158295298	8014.112	8008.008	8020.037	3	2	0	1	1605	1480	NA	NA	NA	NA	NA	NA	1459
7251	1013.6605987836	1013.65835280508	1013.66065101268	8014.112	8007.825	8022.131	3	0	1	2	NA	NA	NA	1617	NA	NA	NA	1516	1494
4858	1069.67646491683	1069.6714823783	1069.68144745535	8014.3285	8010.624	8018.033	2	1	1	0	1363	NA	NA	NA	NA	1323	NA	NA	NA
7261	637.463069029993	637.462114528616	637.470142361112	8014.633	8009.829	8018.122	5	1	2	2	NA	1358	NA	1432	NA	1422	NA	1335	1287
11176	679.480315360728	679.475115357962	679.48396498893	8014.633	8014.024	8016.116	3	1	2	0	NA	1113	NA	1082	NA	1155	NA	NA	NA
11164	1065.67455921666	1065.67455921666	1065.67455921666	8014.633	8014.633	8014.633	1	0	1	0	NA	NA	NA	NA	NA	1100	NA	NA	NA
7248	695.49196791398	695.482170677309	695.497816417143	8014.934	8006.694	8022.654	6	1	2	3	NA	1488	NA	1548	NA	1540	1458	1497	1415
7321	971.636219077509	971.634649796425	971.637788358593	8014.9785	8005.82	8024.137	2	0	0	2	NA	NA	NA	NA	NA	NA	NA	1674	1558
4840	729.474978631045	729.473282439686	729.478093374106	8015.025	8000.076	8030.101	4	3	1	0	1611	1446	1304	1772	NA	NA	NA	NA	NA
8516	849.553353245234	849.55012280956	849.556583680909	8015.3705	8008.008	8022.733	2	1	0	1	NA	1333	NA	NA	NA	NA	1220	NA	NA
7342	897.598345507509	897.598345507509	897.598345507509	8015.845	8015.845	8015.845	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	1947	NA
